,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
13608,147473:315714,06:20:00,06:20:00,1019,1,0,EAST END to Intercity,0,0,1
13609,147473:315714,06:21:00,06:21:00,1021,2,580,EAST END to Intercity,0,0,0
13610,147473:315714,06:21:00,06:21:00,1022,3,778,EAST END to Intercity,0,0,0
13611,147473:315714,06:22:00,06:22:00,1539,4,1205,EAST END to Intercity,0,0,0
13612,147473:315714,06:22:00,06:22:00,1832,5,1383,EAST END to Intercity,0,0,0
13613,147473:315714,06:23:00,06:23:00,1540,6,1613,EAST END to Intercity,0,0,0
13614,147473:315714,06:23:00,06:23:00,1541,7,1865,EAST END to Intercity,0,0,0
13615,147473:315714,06:24:00,06:24:00,1542,8,2104,EAST END to Intercity,0,0,0
13616,147473:315714,06:24:00,06:24:00,1543,9,2223,EAST END to Intercity,0,0,0
13617,147473:315714,06:24:00,06:24:00,1544,10,2399,EAST END to Intercity,0,0,0
13618,147473:315714,06:25:00,06:25:00,1545,11,2658,EAST END to Intercity,0,0,0
13619,147473:315714,06:25:00,06:25:00,1546,12,2837,EAST END to Intercity,0,0,0
13620,147473:315714,06:25:00,06:25:00,1547,13,2953,EAST END to Intercity,0,0,0
13621,147473:315714,06:26:00,06:26:00,1548,14,3133,EAST END to Intercity,0,0,0
13622,147473:315714,06:27:00,06:27:00,1549,15,3530,EAST END to Intercity,0,0,0
13623,147473:315714,06:27:00,06:27:00,1550,16,3724,EAST END to Intercity,0,0,0
13624,147473:315714,06:27:00,06:27:00,1551,17,3977,EAST END to Intercity,0,0,0
13625,147473:315714,06:28:00,06:28:00,1552,18,4126,EAST END to Intercity,0,0,0
13626,147473:315714,06:30:00,06:30:00,1553,19,4247,EAST END to Intercity,0,0,1
13627,147473:315714,06:30:00,06:30:00,1554,20,4542,EAST END to Intercity,0,0,0
13628,147473:315714,06:31:00,06:31:00,1555,21,4755,EAST END to Intercity,0,0,0
13629,147473:315714,06:31:00,06:31:00,1556,22,4865,EAST END to Intercity,0,0,0
13630,147473:315714,06:32:00,06:32:00,1099,23,5229,EAST END to Intercity,0,0,0
13631,147473:315714,06:32:00,06:32:00,1100,24,5349,EAST END to Intercity,0,0,0
13632,147473:315714,06:32:00,06:32:00,1101,25,5506,EAST END to Intercity,0,0,0
13633,147473:315714,06:33:00,06:33:00,1102,26,5890,EAST END to Intercity,0,0,0
13634,147473:315714,06:36:00,06:36:00,1006,27,6507,to City Hall,0,0,1
13635,147473:315714,06:36:00,06:36:00,1007,28,6967,to City Hall,0,0,0
13636,147473:315714,06:37:00,06:37:00,1847,29,7323,to City Hall,0,0,0
13637,147473:315714,06:38:00,06:38:00,1561,30,7683,to City Hall,0,0,0
13638,147473:315714,06:38:00,06:38:00,1562,31,7859,to City Hall,0,0,0
13639,147473:315714,06:39:00,06:39:00,1850,32,8230,to City Hall,0,0,0
13640,147473:315714,06:40:00,06:40:00,1851,33,8685,to City Hall,0,0,0
13641,147473:315714,06:40:00,06:40:00,1576,34,8885,to City Hall,0,0,0
13642,147473:315714,06:41:00,06:41:00,1090,35,9254,to City Hall,0,0,0
13643,147473:315714,06:42:00,06:42:00,1577,36,9570,to City Hall,0,0,0
13644,147473:315714,06:44:00,06:44:00,1019,37,9751,to City Hall,0,0,1
