,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
3948,147820:314876,06:05:00,06:05:00,1121,1,0,,0,0,1
3949,147820:314876,06:05:00,06:05:00,1202,2,414,,0,0,0
3950,147820:314876,06:05:00,06:05:00,1203,3,537,,0,0,0
3951,147820:314876,06:06:00,06:06:00,1355,4,794,,0,0,0
3952,147820:314876,06:06:00,06:06:00,1356,5,930,,0,0,0
3953,147820:314876,06:06:00,06:06:00,1357,6,1204,,0,0,0
3954,147820:314876,06:07:00,06:07:00,1358,7,1391,,0,0,0
3955,147820:314876,06:07:00,06:07:00,1359,8,1631,,0,0,0
3956,147820:314876,06:08:00,06:08:00,1360,9,1952,,0,0,0
3957,147820:314876,06:08:00,06:08:00,1361,10,2207,,0,0,0
3958,147820:314876,06:08:00,06:08:00,1362,11,2343,,0,0,0
3959,147820:314876,06:09:00,06:09:00,1363,12,2465,,0,0,0
3960,147820:314876,06:09:00,06:09:00,1364,13,2557,,0,0,0
3961,147820:314876,06:09:00,06:09:00,1367,14,2949,,0,0,0
3962,147820:314876,06:10:00,06:10:00,1368,15,3149,,0,0,0
3963,147820:314876,06:10:00,06:10:00,1369,16,3283,,0,0,0
3964,147820:314876,06:10:00,06:10:00,1370,17,3439,,0,0,0
3965,147820:314876,06:12:00,06:12:00,1371,18,3587,,0,0,1
3966,147820:314876,06:14:00,06:14:00,1372,19,4270,,0,0,1
3967,147820:314876,06:14:00,06:14:00,1373,20,4441,,0,0,0
3968,147820:314876,06:14:00,06:14:00,1374,21,4597,,0,0,0
3969,147820:314876,06:15:00,06:15:00,1375,22,4851,,0,0,0
3970,147820:314876,06:15:00,06:15:00,1376,23,5107,,0,0,0
3971,147820:314876,06:15:00,06:15:00,1377,24,5228,,0,0,0
3972,147820:314876,06:16:00,06:16:00,1378,25,5422,,0,0,0
3973,147820:314876,06:16:00,06:16:00,1379,26,5649,,0,0,0
3974,147820:314876,06:17:00,06:17:00,1380,27,5917,,0,0,0
3975,147820:314876,06:17:00,06:17:00,1381,28,6182,,0,0,0
3976,147820:314876,06:17:00,06:17:00,1382,29,6310,,0,0,0
3977,147820:314876,06:18:00,06:18:00,1383,30,6513,,0,0,0
3978,147820:314876,06:18:00,06:18:00,1384,31,6725,,0,0,0
3979,147820:314876,06:18:00,06:18:00,1385,32,6858,,0,0,0
3980,147820:314876,06:19:00,06:19:00,1386,33,6995,,0,0,0
3981,147820:314876,06:19:00,06:19:00,1387,34,7113,,0,0,0
3982,147820:314876,06:19:00,06:19:00,1388,35,7261,,0,0,0
3983,147820:314876,06:19:00,06:19:00,1389,36,7418,,0,0,0
3984,147820:314876,06:21:00,06:21:00,1390,37,7491,,0,0,1
29057,148656:317281,09:39:00,09:39:00,1390,1,7491,,0,0,1
29058,148656:317281,09:39:00,09:39:00,1391,2,7687,,0,0,0
29059,148656:317281,09:39:00,09:39:00,1392,3,7928,,0,0,0
29060,148656:317281,09:40:00,09:40:00,1393,4,8508,,0,0,0
29061,148656:317281,09:40:00,09:40:00,1394,5,8695,,0,0,0
29062,148656:317281,09:41:00,09:41:00,1395,6,8976,,0,0,0
29063,148656:317281,09:41:00,09:41:00,1396,7,9126,,0,0,0
29064,148656:317281,09:41:00,09:41:00,1397,8,9352,,0,0,0
29065,148656:317281,09:42:00,09:42:00,1398,9,9622,,0,0,0
29066,148656:317281,09:42:00,09:42:00,1399,10,9766,,0,0,0
29067,148656:317281,09:42:00,09:42:00,1400,11,10013,,0,0,0
29068,148656:317281,09:43:00,09:43:00,1401,12,10318,,0,0,0
29069,148656:317281,09:43:00,09:43:00,1402,13,10651,,0,0,0
29070,148656:317281,09:44:00,09:44:00,1422,14,11196,,0,0,0
29071,148656:317281,09:46:00,09:46:00,1423,15,11448,,0,0,1
29072,148656:317281,09:47:00,09:47:00,1425,16,12013,,0,0,0
29073,148656:317281,09:48:00,09:48:00,1426,17,12163,,0,0,1
29074,148656:317281,09:48:00,09:48:00,1427,18,12303,,0,0,0
29075,148656:317281,09:48:00,09:48:00,1428,19,12452,,0,0,0
29076,148656:317281,09:48:00,09:48:00,1429,20,12602,,0,0,0
29077,148656:317281,09:49:00,09:49:00,1430,21,12796,,0,0,0
29078,148656:317281,09:49:00,09:49:00,1431,22,13108,,0,0,0
29079,148656:317281,09:50:00,09:50:00,1432,23,13239,,0,0,0
29080,148656:317281,09:50:00,09:50:00,1433,24,13368,,0,0,0
29081,148656:317281,09:50:00,09:50:00,1434,25,13547,,0,0,0
29082,148656:317281,09:51:00,09:51:00,1435,26,13781,,0,0,0
29083,148656:317281,09:51:00,09:51:00,1436,27,14025,,0,0,0
29084,148656:317281,09:52:00,09:52:00,1437,28,14336,,0,0,0
29085,148656:317281,09:52:00,09:52:00,1438,29,14543,,0,0,0
29086,148656:317281,09:52:00,09:52:00,1312,30,14865,,0,0,0
29087,148656:317281,09:53:00,09:53:00,1818,31,15109,,0,0,0
29088,148656:317281,09:55:00,09:55:00,1121,32,15389,,0,0,1
