,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
438,147680:314520,13:15:00,13:15:00,1121,1,0,,0,0,1
439,147680:314520,13:15:00,13:15:00,1202,2,414,,0,0,0
440,147680:314520,13:16:00,13:16:00,1203,3,537,,0,0,0
441,147680:314520,13:16:00,13:16:00,1355,4,794,,0,0,0
442,147680:314520,13:16:00,13:16:00,1356,5,930,,0,0,0
443,147680:314520,13:17:00,13:17:00,1357,6,1204,,0,0,0
444,147680:314520,13:17:00,13:17:00,1358,7,1391,,0,0,0
445,147680:314520,13:18:00,13:18:00,1359,8,1631,,0,0,0
446,147680:314520,13:19:00,13:19:00,1360,9,1952,,0,0,0
447,147680:314520,13:19:00,13:19:00,1361,10,2207,,0,0,0
448,147680:314520,13:19:00,13:19:00,1362,11,2343,,0,0,0
449,147680:314520,13:20:00,13:20:00,1363,12,2465,,0,0,0
450,147680:314520,13:20:00,13:20:00,1364,13,2557,,0,0,0
451,147680:314520,13:21:00,13:21:00,1367,14,2949,,0,0,0
452,147680:314520,13:21:00,13:21:00,1368,15,3149,,0,0,0
453,147680:314520,13:22:00,13:22:00,1369,16,3283,,0,0,0
454,147680:314520,13:22:00,13:22:00,1370,17,3439,,0,0,0
455,147680:314520,13:24:00,13:24:00,1371,18,3587,,0,0,1
456,147680:314520,13:26:00,13:26:00,1372,19,4270,,0,0,1
457,147680:314520,13:26:00,13:26:00,1403,20,4493,,0,0,0
458,147680:314520,13:26:00,13:26:00,1404,21,4678,,0,0,0
459,147680:314520,13:27:00,13:27:00,1405,22,5059,,0,0,0
460,147680:314520,13:27:00,13:27:00,1406,23,5248,,0,0,0
461,147680:314520,13:28:00,13:28:00,1407,24,5443,,0,0,0
462,147680:314520,13:28:00,13:28:00,1408,25,5664,,0,0,0
463,147680:314520,13:28:00,13:28:00,1409,26,5894,,0,0,0
464,147680:314520,13:30:00,13:30:00,1410,27,6496,,0,0,0
465,147680:314520,13:30:00,13:30:00,1412,28,6843,,0,0,0
466,147680:314520,13:31:00,13:31:00,1413,29,7212,,0,0,0
467,147680:314520,13:31:00,13:31:00,1414,30,7544,,0,0,0
468,147680:314520,13:32:00,13:32:00,1415,31,7817,,0,0,0
469,147680:314520,13:32:00,13:32:00,1416,32,8140,,0,0,0
470,147680:314520,13:33:00,13:33:00,1417,33,8372,,0,0,0
471,147680:314520,13:36:00,13:36:00,1418,34,9007,,0,0,1
14095,147692:315781,06:40:00,06:40:00,1418,1,9007,,0,0,1
14096,147692:315781,06:40:00,06:40:00,1419,2,9323,,0,0,0
14097,147692:315781,06:41:00,06:41:00,1420,3,9676,,0,0,0
14098,147692:315781,06:41:00,06:41:00,1421,4,9845,,0,0,0
14099,147692:315781,06:42:00,06:42:00,1422,5,10276,,0,0,0
14100,147692:315781,06:43:00,06:43:00,1423,6,10528,,0,0,1
14101,147692:315781,06:44:00,06:44:00,1425,7,11093,,0,0,0
14102,147692:315781,06:45:00,06:45:00,1426,8,11243,,0,0,1
14103,147692:315781,06:45:00,06:45:00,1427,9,11383,,0,0,0
14104,147692:315781,06:45:00,06:45:00,1428,10,11532,,0,0,0
14105,147692:315781,06:46:00,06:46:00,1429,11,11682,,0,0,0
14106,147692:315781,06:46:00,06:46:00,1430,12,11876,,0,0,0
14107,147692:315781,06:47:00,06:47:00,1431,13,12188,,0,0,0
14108,147692:315781,06:47:00,06:47:00,1432,14,12319,,0,0,0
14109,147692:315781,06:48:00,06:48:00,1433,15,12448,,0,0,0
14110,147692:315781,06:48:00,06:48:00,1434,16,12627,,0,0,0
14111,147692:315781,06:49:00,06:49:00,1435,17,12861,,0,0,0
14112,147692:315781,06:49:00,06:49:00,1436,18,13105,,0,0,0
14113,147692:315781,06:50:00,06:50:00,1437,19,13416,,0,0,0
14114,147692:315781,06:51:00,06:51:00,1438,20,13623,,0,0,0
14115,147692:315781,06:52:00,06:52:00,1312,21,13945,,0,0,0
14116,147692:315781,06:55:00,06:55:00,1121,22,14466,,0,0,1
