,trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled,stop_headsign,pickup_type,drop_off_type,timepoint
262,148346:314505,17:30:00,17:30:00,1121,1,0,,0,0,1
263,148346:314505,17:30:00,17:30:00,1202,2,414,,0,0,0
264,148346:314505,17:31:00,17:31:00,1203,3,537,,0,0,0
265,148346:314505,17:31:00,17:31:00,1355,4,794,,0,0,0
266,148346:314505,17:32:00,17:32:00,1356,5,930,,0,0,0
267,148346:314505,17:33:00,17:33:00,1814,6,1377,,0,0,0
268,148346:314505,17:33:00,17:33:00,1792,7,1630,,0,0,0
269,148346:314505,17:35:00,17:35:00,1793,8,1810,,0,0,1
270,148346:314505,17:35:00,17:35:00,1794,9,2109,,0,0,0
271,148346:314505,17:36:00,17:36:00,1795,10,2266,,0,0,0
272,148346:314505,17:37:00,17:37:00,1796,11,2521,,0,0,0
273,148346:314505,17:38:00,17:38:00,1797,12,2819,,0,0,0
274,148346:314505,17:39:00,17:39:00,1798,13,3031,,0,0,0
275,148346:314505,17:40:00,17:40:00,1799,14,3439,,0,0,0
276,148346:314505,17:41:00,17:41:00,1801,15,3709,,0,0,0
277,148346:314505,17:42:00,17:42:00,1800,16,3942,,0,0,0
278,148346:314505,17:43:00,17:43:00,1802,17,4253,,0,0,0
279,148346:314505,17:44:00,17:44:00,1803,18,4640,,0,0,0
280,148346:314505,17:46:00,17:46:00,1005,19,5361,,0,0,0
281,148346:314505,17:50:00,17:50:00,1006,20,5667,,0,0,1
282,148346:314505,17:52:00,17:52:00,1806,21,6400,,0,0,0
283,148346:314505,17:53:00,17:53:00,1808,22,6732,,0,0,0
284,148346:314505,17:55:00,17:55:00,1809,23,6956,,0,0,1
285,148346:314505,17:56:00,17:56:00,1810,24,7340,,0,0,0
286,148346:314505,17:56:00,17:56:00,1812,25,7617,,0,0,0
287,148346:314505,17:57:00,17:57:00,1827,26,7925,,0,0,0
288,148346:314505,17:59:00,17:59:00,1019,27,8199,,0,0,1
28533,148139:317257,19:10:00,19:10:00,1019,1,8199,,0,0,1
28534,148139:317257,19:10:00,19:10:00,1836,2,8333,,0,0,0
28535,148139:317257,19:10:00,19:10:00,1749,3,8617,,0,0,0
28536,148139:317257,19:11:00,19:11:00,1750,4,8946,,0,0,0
28537,148139:317257,19:11:00,19:11:00,1751,5,9104,,0,0,0
28538,148139:317257,19:13:00,19:13:00,1753,6,9463,,0,0,1
28539,148139:317257,19:13:00,19:13:00,1754,7,9773,,0,0,0
28540,148139:317257,19:14:00,19:14:00,1755,8,9988,,0,0,0
28541,148139:317257,19:14:00,19:14:00,1756,9,10153,,0,0,0
28542,148139:317257,19:16:00,19:16:00,1757,10,10458,,0,0,1
28543,148139:317257,19:16:00,19:16:00,1758,11,10670,,0,0,0
28544,148139:317257,19:18:00,19:18:00,1760,12,11165,,0,0,0
28545,148139:317257,19:18:00,19:18:00,1761,13,11320,,0,0,0
28546,148139:317257,19:20:00,19:20:00,1762,14,11856,,0,0,0
28547,148139:317257,19:21:00,19:21:00,1763,15,12098,,0,0,0
28548,148139:317257,19:23:00,19:23:00,1764,16,12324,,0,0,1
28549,148139:317257,19:23:00,19:23:00,1765,17,12495,,0,0,0
28550,148139:317257,19:23:00,19:23:00,1766,18,12657,,0,0,0
28551,148139:317257,19:24:00,19:24:00,1767,19,12855,,0,0,0
28552,148139:317257,19:25:00,19:25:00,1768,20,13225,,0,0,0
28553,148139:317257,19:26:00,19:26:00,1306,21,13549,,0,0,0
28554,148139:317257,19:26:00,19:26:00,1307,22,13722,,0,0,0
28555,148139:317257,19:28:00,19:28:00,1308,23,13940,,0,0,1
28556,148139:317257,19:28:00,19:28:00,1309,24,14164,,0,0,0
28557,148139:317257,19:28:00,19:28:00,1310,25,14356,,0,0,0
28558,148139:317257,19:29:00,19:29:00,1311,26,14631,,0,0,0
28559,148139:317257,19:30:00,19:30:00,1312,27,14868,,0,0,0
28560,148139:317257,19:30:00,19:30:00,1818,28,15112,,0,0,0
28561,148139:317257,19:32:00,19:32:00,1121,29,15392,,0,0,1
