route_id,service_id,trip_id,trip_headsign,shape_id
8,314483,152606:314483,JAMES to City Hall via College,3259
10,314485,147757:314485,NORTHWOOD to County Park,3100
16,314486,147415:314486,BALMORAL to City Hall,3166
7,314493,148586:314493,HUDSON to Shuniah St.,3252
2,314494,152665:314494,CROSSTOWN to Westfort,3113
5,314496,147603:314496,EDWARD to Westfort,3136
8,314497,152608:314497,JAMES to City Hall via College,3259
2,314499,152662:314499,CROSSTOWN to Westfort,3113
3M,314505,148346:314505,MEMORIAL to Airport,3321
16,314506,147419:314506,BALMORAL to City Hall,3166
1,314507,147850:314507,MAINLINE to Westfort,3130
16,314510,148950:314510,BALMORAL to City Hall,3166
7,314515,148065:314515,HUDSON to Shuniah St.,3252
3J,314520,147680:314520,JUMBO GARDENS to Sherwood Dr.,3309
14,314522,148873:314522,ARTHUR to Airport,3145
14,314531,148844:314531,ARTHUR to Jumbo Gardens,3288
3M,314535,148133:314535,MEMORIAL to Northwood,3322
3M,314541,148347:314541,MEMORIAL to Northwood,3322
10,314546,147722:314546,NORTHWOOD to College,3264
1,314549,147857:314549,MAINLINE to Westfort,3130
7,314558,148056:314558,HUDSON to Waterfront,3172
10,314559,147728:314559,NORTHWOOD to College,3264
16,314563,148951:314563,BALMORAL to City Hall,3166
3M,314565,148335:314565,MEMORIAL to Northwood,3322
10,314568,147706:314568,NORTHWOOD to County Park,3100
11,314573,147558:314573,JOHN to Windsor St.,3283
16,314576,148952:314576,BALMORAL to City Hall,3166
3M,314578,148127:314578,MEMORIAL to Northwood,3322
7,314581,148072:314581,HUDSON to Waterfront,3172
5,314592,147621:314592,EDWARD to Westfort,3136
10,314594,147720:314594,NORTHWOOD to County Park,3100
3M,314595,148185:314595,MEMORIAL to Airport,3321
2,314602,152490:314602,CROSSTOWN to Waterfront,3128
8,314605,149779:314605,JAMES to Intercity via College,3282
5,314607,147639:314607,EDWARD to Waterfront,3119
2,314608,152527:314608,CROSSTOWN to Westfort,3113
10,314616,147724:314616,NORTHWOOD to College,3264
7,314620,148046:314620,HUDSON to Waterfront,3172
9,314631,147948:314631,JUNOT to Intercity,3313
16,314636,148963:314636,BALMORAL to City Hall,3166
11,314637,147559:314637,JOHN to Windsor St.,3283
1,314642,147831:314642,MAINLINE to Westfort,3130
7,314644,148070:314644,HUDSON to Shuniah St.,3252
8,314647,152582:314647,JAMES to Intercity via College,3282
8,314648,152565:314648,JAMES to City Hall,3204
9,314653,147951:314653,JUNOT to Intercity,3313
5,314654,147643:314654,EDWARD to Waterfront,3119
8,314657,149826:314657,JAMES to Intercity via College,3282
3J,314662,147704:314662,JUMBO GARDENS to Sherwood Dr.,3309
1,314663,148616:314663,MAINLINE to Westfort,3130
7,314666,148562:314666,HUDSON to Shuniah St.,3252
14,314667,148883:314667,ARTHUR to Airport,3145
1,314669,147876:314669,MAINLINE to Westfort,3130
8,314673,152579:314673,JAMES to Intercity via College,3282
1,314674,148602:314674,MAINLINE to Westfort,3130
8,314681,152602:314681,JAMES to City Hall via College,3259
16,314683,147409:314683,BALMORAL to City Hall,3166
16,314686,148957:314686,BALMORAL to City Hall,3166
3M,314688,148305:314688,MEMORIAL to City Hall,3315
7,314693,148032:314693,HUDSON to Shuniah St.,3252
10,314700,147732:314700,NORTHWOOD to College,3264
3J,314702,147684:314702,JUMBO GARDENS to Sherwood Dr.,3309
8,314703,149825:314703,JAMES to Intercity via College,3282
1,314704,147856:314704,MAINLINE to Westfort,3130
3M,314706,148316:314706,MEMORIAL to Airport,3321
5,314709,147630:314709,EDWARD to Waterfront,3119
5,314717,147651:314717,EDWARD to Waterfront,3119
16,314718,147411:314718,BALMORAL to City Hall,3166
7,314720,148067:314720,HUDSON to Shuniah St.,3252
3M,314721,148175:314721,MEMORIAL to Northwood,3317
3J,314724,148822:314724,JUMBO GARDENS to Sherwood Dr.,3309
3J,314727,147686:314727,JUMBO GARDENS to Sherwood Dr.,3309
14,314729,147536:314729,ARTHUR to Jumbo Gardens,3288
7,314735,148558:314735,HUDSON to Waterfront,3172
7,314741,148063:314741,HUDSON to Shuniah St.,3252
3M,314744,148339:314744,MEMORIAL to Northwood,3322
3J,314748,148818:314748,JUMBO GARDENS to Sherwood Dr.,3309
14,314750,148850:314750,ARTHUR to Jumbo Gardens,3288
3M,314752,148184:314752,MEMORIAL to Northwood,3322
10,314755,147764:314755,NORTHWOOD to College,3264
3M,314756,148360:314756,MEMORIAL to City Hall,3315
10,314757,147711:314757,NORTHWOOD to County Park,3100
11,314758,147582:314758,JOHN to Windsor St.,3283
11,314759,148717:314759,JOHN to Windsor St.,3283
16,314764,148972:314764,BALMORAL to College,3152
8,314766,152603:314766,JAMES to City Hall via College,3259
14,314769,148878:314769,ARTHUR to Airport,3145
8,314770,152601:314770,JAMES to City Hall via College,3259
8,314778,152566:314778,JAMES to City Hall,3204
3M,314779,148107:314779,MEMORIAL to Northwood,3322
7,314787,148583:314787,HUDSON to Shuniah St.,3252
8,314788,149811:314788,JAMES to College,3211
14,314791,148865:314791,ARTHUR to Airport,3145
11,314798,148721:314798,JOHN to Windsor St.,3283
2,314799,152645:314799,CROSSTOWN to Waterfront,3128
11,314804,148711:314804,JOHN to Windsor St.,3283
3M,314805,148130:314805,MEMORIAL to Airport,3321
7,314806,148549:314806,HUDSON to Waterfront,3172
3M,314808,148334:314808,MEMORIAL to Airport,3321
7,314809,148022:314809,HUDSON to Shuniah St.,3252
8,314810,149815:314810,JAMES to College,3211
10,314814,148931:314814,NORTHWOOD to College,3264
3J,314815,148825:314815,JUMBO GARDENS to Sherwood Dr.,3309
5,314816,148754:314816,EDWARD to Westfort,3136
5,314817,147634:314817,EDWARD to Waterfront,3119
3M,314820,148177:314820,MEMORIAL to Airport,3321
5,314832,147640:314832,EDWARD to Waterfront,3119
5,314833,147657:314833,EDWARD to Waterfront,3119
5,314835,147628:314835,EDWARD to Waterfront,3119
5,314837,147646:314837,EDWARD to Westfort,3136
7,314840,148064:314840,HUDSON to Shuniah St.,3252
9,314848,148459:314848,JUNOT to Intercity,3313
7,314849,148533:314849,HUDSON to Waterfront,3172
2,314850,152544:314850,CROSSTOWN to Westfort,3113
14,314854,147530:314854,ARTHUR to City Hall,3243
5,314855,148751:314855,EDWARD to Westfort,3136
14,314856,147539:314856,ARTHUR to Jumbo Gardens,3288
11,314863,147597:314863,JOHN to Windsor St.,3283
10,314868,147737:314868,NORTHWOOD to College,3264
8,314869,152605:314869,JAMES to City Hall via College,3259
11,314871,147553:314871,JOHN to Windsor St.,3283
3C,314876,147820:314876,COUNTY PARK to Castlegreen Dr,3320
16,314881,147418:314881,BALMORAL to City Hall,3166
3M,314882,148315:314882,MEMORIAL to Airport,3308
11,314883,148723:314883,JOHN to Windsor St.,3283
2,314884,152653:314884,CROSSTOWN to Westfort,3113
11,314889,147563:314889,JOHN to Windsor St.,3283
14,314890,147542:314890,ARTHUR to Airport,3145
2,314891,152655:314891,CROSSTOWN to Westfort,3113
2,314895,152521:314895,CROSSTOWN to Westfort,3113
3M,314897,148343:314897,MEMORIAL to Northwood,3322
8,314900,149819:314900,JAMES to City Hall,3204
8,314905,149778:314905,JAMES to Intercity via College,3282
9,314909,148454:314909,JUNOT to Intercity,3313
10,314911,147739:314911,NORTHWOOD to County Park,3100
5,314912,148768:314912,EDWARD to Westfort,3136
7,314915,148589:314915,HUDSON to Shuniah St.,3252
1,314922,147830:314922,MAINLINE to Westfort,3130
10,314923,147716:314923,NORTHWOOD to County Park,3100
5,314924,147617:314924,EDWARD to Westfort,3136
7,314933,148034:314933,HUDSON to Waterfront,3172
3J,314934,147678:314934,JUMBO GARDENS to Sherwood Dr.,3309
16,314943,147446:314943,BALMORAL to City Hall,3166
2,314945,152532:314945,CROSSTOWN to Westfort,3113
5,314947,148769:314947,EDWARD to Westfort,3136
1,314948,147891:314948,MAINLINE to Westfort,3132
7,314949,148031:314949,HUDSON to Shuniah St.,3252
10,314951,147733:314951,NORTHWOOD to College,3264
4,314957,149043:314957,NEEBING,3215
3M,314958,148145:314958,MEMORIAL to Northwood,3317
11,314962,147557:314962,JOHN to Windsor St.,3283
5,314963,147620:314963,EDWARD to Westfort,3136
14,314965,148881:314965,ARTHUR to Airport,3145
8,314971,152568:314971,JAMES to City Hall,3204
3M,314972,148119:314972,MEMORIAL to Northwood,3322
2,314973,152526:314973,CROSSTOWN to Westfort,3113
1,314982,148617:314982,MAINLINE to Westfort,3130
16,314990,148968:314990,BALMORAL to College,3152
3M,314995,148156:314995,MEMORIAL to City Hall,3315
10,314996,148938:314996,NORTHWOOD to College,3264
7,314998,148068:314998,HUDSON to Shuniah St.,3252
7,314999,148552:314999,HUDSON to Waterfront,3172
14,315002,147508:315002,ARTHUR to Airport,3145
1,315005,148603:315005,MAINLINE to Westfort,3130
5,315009,148746:315009,EDWARD to Westfort,3136
7,315015,148033:315015,HUDSON to Shuniah St.,3252
7,315021,148039:315021,HUDSON to Shuniah St.,3252
8,315023,152595:315023,JAMES to College,3211
3J,315025,147677:315025,JUMBO GARDENS to Sherwood Dr.,3309
14,315027,147500:315027,ARTHUR to Jumbo Gardens,3288
14,315028,147514:315028,ARTHUR to Airport,3145
11,315031,148720:315031,JOHN to Windsor St.,3283
14,315035,147519:315035,ARTHUR to Airport,3145
10,315037,147735:315037,NORTHWOOD to College,3264
7,315038,148541:315038,HUDSON to Waterfront,3172
1,315042,147829:315042,MAINLINE to Westfort,3130
3M,315053,148129:315053,MEMORIAL to Northwood,3322
2,315054,152548:315054,CROSSTOWN to Westfort,3113
7,315056,148074:315056,HUDSON to Waterfront,3172
3J,315059,147699:315059,JUMBO GARDENS to Sherwood Dr.,3309
14,315060,147518:315060,ARTHUR to Airport,3145
8,315064,152580:315064,JAMES to Intercity via College,3282
8,315065,152575:315065,JAMES to College,3211
7,315066,148559:315066,HUDSON to Waterfront,3172
14,315067,147489:315067,ARTHUR to Jumbo Gardens,3288
8,315071,152564:315071,JAMES to City Hall,3204
14,315073,148876:315073,ARTHUR to Airport,3145
5,315075,148750:315075,EDWARD to Westfort,3136
10,315078,148924:315078,NORTHWOOD to College,3264
10,315083,148926:315083,NORTHWOOD to College,3264
7,315084,148554:315084,HUDSON to Waterfront,3172
9,315087,148469:315087,JUNOT to Intercity,3313
16,315090,148961:315090,BALMORAL to City Hall,3166
3M,315091,148176:315091,MEMORIAL to Northwood,3322
7,315095,148037:315095,HUDSON to Waterfront,3172
10,315097,147738:315097,NORTHWOOD to County Park,3100
7,315103,148014:315103,HUDSON to Waterfront,3172
11,315104,148718:315104,JOHN to Windsor St.,3283
14,315111,148879:315111,ARTHUR to Airport,3145
2,315112,152541:315112,CROSSTOWN to Westfort,3113
14,315114,148846:315114,ARTHUR to Jumbo Gardens,3288
2,315117,152546:315117,CROSSTOWN to Westfort,3113
5,315119,148784:315119,EDWARD to Waterfront,3119
1,315120,147842:315120,MAINLINE to City Hall,3272
3M,315121,148137:315121,MEMORIAL to Northwood,3322
10,315123,148909:315123,NORTHWOOD to County Park,3100
10,315127,148936:315127,NORTHWOOD to College,3264
2,315129,152547:315129,CROSSTOWN to Westfort,3113
7,315131,148537:315131,HUDSON to Waterfront,3172
14,315139,148837:315139,ARTHUR to Jumbo Gardens,3288
